Date,Open,High,Low,Close,Adj Close,Volume
2019-07-23,2.650000,2.650000,2.530000,2.580000,2.580000,441181
2019-07-24,2.600000,2.610000,2.450000,2.530000,2.530000,418383
2019-07-25,2.590000,2.590000,2.420000,2.450000,2.450000,479433
2019-07-26,2.450000,2.650000,2.400000,2.580000,2.580000,375990
2019-07-29,2.560000,2.560000,2.440000,2.440000,2.440000,123653
2019-07-30,2.410000,2.460000,2.350000,2.360000,2.360000,170193
2019-07-31,2.360000,2.360000,2.240000,2.270000,2.270000,648649
2019-08-01,2.160000,2.300000,2.090000,2.260000,2.260000,470646
2019-08-02,2.240000,2.340000,2.180000,2.230000,2.230000,191975
2019-08-05,2.330000,2.330000,2.120000,2.230000,2.230000,273238
2019-08-06,2.330000,2.340000,2.260000,2.270000,2.270000,107155
2019-08-07,2.310000,2.310000,2.130000,2.150000,2.150000,181021
2019-08-08,2.240000,2.240000,2.110000,2.140000,2.140000,137483
2019-08-09,2.150000,2.200000,1.820000,2.040000,2.040000,868069
2019-08-13,2.110000,2.130000,1.930000,1.960000,1.960000,674841
2019-08-14,2.010000,2.010000,1.910000,1.970000,1.970000,242861
2019-08-16,1.970000,2.040000,1.950000,2.000000,2.000000,421770
2019-08-19,2.000000,2.050000,1.950000,1.980000,1.980000,257901
2019-08-20,2.050000,2.050000,1.930000,1.950000,1.950000,353059
2019-08-21,1.950000,1.960000,1.910000,1.930000,1.930000,213387
2019-08-22,1.990000,2.040000,1.850000,1.850000,1.850000,316524
2019-08-23,1.840000,1.890000,1.600000,1.690000,1.690000,676712
2019-08-26,1.740000,1.750000,1.660000,1.730000,1.730000,170588
2019-08-27,1.740000,1.760000,1.700000,1.740000,1.740000,104950
2019-08-28,1.750000,1.750000,1.700000,1.730000,1.730000,108464
2019-08-29,1.780000,1.780000,1.710000,1.720000,1.720000,64892
2019-08-30,1.740000,1.740000,1.710000,1.730000,1.730000,48185
2019-09-03,1.730000,1.750000,1.700000,1.740000,1.740000,86560
2019-09-04,1.740000,1.760000,1.710000,1.750000,1.750000,338652
2019-09-05,1.750000,1.750000,1.730000,1.740000,1.740000,87101
2019-09-06,1.750000,2.000000,1.730000,1.960000,1.960000,723679
2019-09-09,1.950000,2.350000,1.840000,2.350000,2.350000,755826
2019-09-11,2.350000,2.700000,2.160000,2.490000,2.490000,845540
2019-09-12,2.580000,2.580000,2.300000,2.370000,2.370000,371087
2019-09-13,2.260000,2.350000,2.210000,2.290000,2.290000,194870
2019-09-16,2.450000,2.450000,2.230000,2.280000,2.280000,113810
2019-09-17,2.280000,2.300000,2.240000,2.270000,2.270000,110258
2019-09-18,2.280000,2.420000,2.270000,2.380000,2.380000,174282
2019-09-19,2.380000,2.440000,2.150000,2.150000,2.150000,363712
2019-09-20,2.230000,2.230000,1.960000,2.080000,2.080000,519125
2019-09-23,2.220000,2.230000,2.050000,2.160000,2.160000,340735
2019-09-24,2.160000,2.220000,2.130000,2.160000,2.160000,43192
2019-09-25,2.210000,2.240000,2.110000,2.190000,2.190000,46792
2019-09-26,2.190000,2.190000,2.120000,2.150000,2.150000,155174
2019-09-27,2.150000,2.150000,2.060000,2.090000,2.090000,296839
2019-09-30,2.230000,2.230000,1.950000,2.030000,2.030000,185777
2019-10-01,2.030000,2.030000,1.920000,1.960000,1.960000,173096
2019-10-03,1.960000,2.030000,1.920000,1.990000,1.990000,225800
2019-10-04,1.970000,2.090000,1.940000,1.960000,1.960000,178017
2019-10-07,2.000000,2.010000,1.950000,1.980000,1.980000,159901
2019-10-09,2.080000,2.150000,1.980000,2.090000,2.090000,160914
2019-10-10,2.100000,2.180000,2.050000,2.090000,2.090000,242290
2019-10-11,2.100000,2.110000,2.020000,2.040000,2.040000,141322
2019-10-14,2.050000,2.090000,2.010000,2.030000,2.030000,327127
2019-10-15,2.030000,2.060000,2.010000,2.020000,2.020000,151391
2019-10-16,2.200000,2.220000,2.000000,2.020000,2.020000,101647
2019-10-17,2.050000,2.210000,1.960000,2.060000,2.060000,307884
2019-10-18,2.170000,2.360000,2.100000,2.210000,2.210000,376616
2019-10-22,2.200000,2.310000,2.150000,2.150000,2.150000,150122
2019-10-23,2.190000,2.190000,2.060000,2.070000,2.070000,280940
2019-10-24,2.150000,2.150000,2.020000,2.040000,2.040000,159828
2019-10-25,2.040000,2.050000,1.810000,1.980000,1.980000,215773
2019-10-27,null,null,null,null,null,null
2019-10-29,2.120000,2.120000,2.030000,2.070000,2.070000,77729
2019-10-30,2.100000,2.100000,2.030000,2.040000,2.040000,241444
2019-10-31,2.050000,2.140000,1.960000,1.970000,1.970000,478723
2019-11-01,2.050000,2.050000,1.960000,2.020000,2.020000,97284
2019-11-04,2.050000,2.050000,1.980000,1.990000,1.990000,313214
2019-11-05,2.050000,2.070000,1.990000,2.000000,2.000000,404956
2019-11-06,2.000000,2.010000,1.980000,2.000000,2.000000,56180
2019-11-07,2.000000,2.050000,1.970000,2.000000,2.000000,261935
2019-11-08,2.000000,2.040000,1.960000,1.980000,1.980000,240444
2019-11-11,2.000000,2.040000,1.950000,2.000000,2.000000,198598
2019-11-13,2.000000,2.000000,1.930000,1.950000,1.950000,324567
2019-11-14,1.950000,1.960000,1.910000,1.920000,1.920000,624872
2019-11-15,1.900000,1.950000,1.860000,1.900000,1.900000,245399
2019-11-18,1.920000,1.940000,1.880000,1.910000,1.910000,307283
2019-11-19,1.960000,2.000000,1.900000,1.920000,1.920000,188367
2019-11-20,1.950000,1.990000,1.930000,1.960000,1.960000,207562
2019-11-21,2.000000,2.000000,1.920000,1.950000,1.950000,166843
2019-11-22,1.950000,2.010000,1.920000,1.990000,1.990000,231968
2019-11-25,1.940000,2.010000,1.940000,1.990000,1.990000,274408
2019-11-26,2.000000,2.000000,1.920000,1.960000,1.960000,323223
2019-11-27,2.000000,2.010000,1.950000,1.990000,1.990000,488467
2019-11-28,1.950000,2.100000,1.950000,1.990000,1.990000,169608
2019-11-29,2.000000,2.010000,1.960000,1.960000,1.960000,161913
2019-12-02,1.950000,2.010000,1.940000,1.940000,1.940000,172634
2019-12-03,1.990000,1.990000,1.930000,1.970000,1.970000,510498
2019-12-04,1.990000,1.990000,1.950000,1.980000,1.980000,158944
2019-12-05,2.000000,2.000000,1.960000,1.990000,1.990000,168252
2019-12-06,1.990000,1.990000,1.940000,1.970000,1.970000,379192
2019-12-09,2.000000,2.000000,1.950000,1.960000,1.960000,291958
2019-12-10,1.990000,1.990000,1.920000,1.950000,1.950000,328748
2019-12-11,1.960000,1.960000,1.920000,1.940000,1.940000,115413
2019-12-12,1.950000,1.980000,1.940000,1.970000,1.970000,133952
2019-12-13,1.990000,2.260000,1.960000,1.980000,1.980000,375060
2019-12-16,1.980000,2.160000,1.980000,2.090000,2.090000,818173
2019-12-17,2.160000,2.160000,2.020000,2.040000,2.040000,236107
